,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,created,modified,references,source,majorGroup,tplID,synonims
1187243,wfo-0001194885,35182919,35182919,Trichosteleum punctipapillosum,species,wfo-4000039051,Paris ex Gangulee,Sematophyllaceae,,,,Trichosteleum,,punctipapillosum,,species,Valid,Mosses E. India 8: 1913. 1980.,Accepted,,,,Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-35182919 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-35182919 >The Plant List v.1.0</a>,2022-04-16,2024-12-06,https://www.bryonames.org/,The Bryophyte TEN,Bryophyta,tro-35182919,[]
11498,wfo-0000010885,urn:lsid:ipni.org:names:960200-1,GCC-F010A702-7E8D-4B03-BA09-B121ABDA623D,Taraxacum raikoviae,species,wfo-1000024923,Vainberg,Asteraceae,Cichorioideae,Cichorieae,Crepidinae,Taraxacum,,raikoviae,,species,Valid,"Fl. Tadzhiksk. S.S.R. 10: 462, 361 (1991) (1991)",Accepted,,,,"Source in seed data: gcc Update namepublishedIn from Fl. TadzhikskoÄ­ SSR 10: 462, 361 (1991). to Fl. Tadzhiksk. S.S.R. 10: 462, 361 (1991) (1991), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.th",2022-04-16,2024-06-17,https://cichorieae.e-taxonomy.net/portal/cdm_dataportal/taxon/691e9f7f-a33d-4ec4-8d23-db5e36b02258,The Asteraceaae TEN,A,gcc-110549,[]
687237,wfo-0000691302,urn:lsid:ipni.org:names:495266-1,940879,Flemingia javanica,species,wfo-4000014850,C.Y.Wu,Fabaceae,Papilionoideae,,,Flemingia,,javanica,,species,Valid,J. W. China Border Res. Soc. 16: 175 (1946),Accepted,,,,"Source in seed data: ksufab Update namepublishedIn from J. W. China Border Res. Soc. xvi. 175 (1946). to J. W. China Border Res. Soc. 16: 175 (1946), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.",2022-04-16,2024-06-04,https://www.legumedata.org/taxonomy/taxon/2813362,The Fabaceae TEN - Legume Taxonomy Working Group,A,kew-2813362,['Flemingia macrophylla']
214443,wfo-0000216935,urn:lsid:ipni.org:names:448302-1,102022,Hyptis passerina,species,wfo-4000018897,Mart. ex Benth.,Lamiaceae,,,,Hyptis,,passerina,,species,Valid,Labiat. Gen. Spec. : 89 (1833),Accepted,,,,"Source in seed data: wcs Update namepublishedIn from Labiat. Gen. Spec. 89 1833 to Labiat. Gen. Spec. : 89 (1833), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-",2022-04-16,2024-06-04,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:448302-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-102022,['Mesosphaerum passerinum']
1259003,wfo-0001267451,,50226893,Begonia villifera,species,wfo-1000039493,Galeotti,Begoniaceae,,,,Begonia,,villifera,,species,Valid,J. Hort. Prat. Belgique 11: 3. (1853),Accepted,,,,Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-50226893 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-50226893 >The Plant List v.1.0</a>,2022-04-16,2024-11-15,https://padme.rbge.org.uk/wfo/wfo-0001267451,The Begoniaceae TEN,A,tro-50226893,[]
965731,wfo-0000970384,urn:lsid:ipni.org:names:71945-1,8769,Ancistrocladus letestui,species,wfo-4000001920,Pellegr.,Ancistrocladaceae,,,,Ancistrocladus,,letestui,,species,Valid,in Bull. Soc. Bot. France 98: 18. 1951.,Accepted,,,,"Source in seed data: wcs Update namepublishedIn from Bull. Soc. Bot. France 98: 18 1951 to Bull. Soc. Bot. France 98: 18 (1951), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1",2022-04-16,2024-09-02,https://caryophyllales.org/?q=cdm_dataportal/name/caa92590-372e-452a-bf0d-e61a370ca091,The Caryophyllales TEN -The Caryophyllales Network,A,kew-8769,[]
333857,wfo-0000336519,urn:lsid:ipni.org:names:20006046-1,216883,Eucalyptus sporadica,species,wfo-4000014088,Brooker & Hopper,Myrtaceae,,,,Eucalyptus,,sporadica,,species,Valid,Nuytsia  14: 356 (2002),Accepted,,,,"Source in seed data: wcs Update namepublishedIn from Nuytsia 14(3): 356 (2002). to Nuytsia 14: 356 (2002), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-216883 >",2022-04-16,2024-06-04,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20006046-1,wcs,A,kew-216883,[]
1483067,wfo-1000025959,urn:lsid:ipni.org:names:77260661-1,,Carex delongii,species,wfo-4000006709,Shekhovts. & Lashch.,Cyperaceae,,,,Carex,,delongii,,species,Valid,Turczaninowia 24(4): 124 (2021),Accepted,,,,,2022-08-09,2024-06-04,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77260661-1,The Cyperaceae TEN,A,,[]
1121031,wfo-0001128054,urn:lsid:ipni.org:names:305938-2,26625010,Asplenium ruizianum,species,wfo-4000003342,Klotzsch,Aspleniaceae,,,,Asplenium,,ruizianum,,species,Valid,Linnaea 20: 354 (1847),Accepted,,,,"Source in seed data: tro Update namepublishedIn from Linnaea 20: 354 1847 to Linnaea 20: 354 (1847), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26625010 >The ",2022-04-16,2024-12-16,https://pteridogroup.github.io/,Ferns and Allies TEN - the Pteridophyte Phylogeny Group (PPG).,Polypodiophyta,tro-26625010,['Tarachia ruiziana' 'Asplenium abscissum var. ruizianum']
532533,wfo-0000535987,urn:lsid:ipni.org:names:708757-1,770992,Anemonoides minima,species,wfo-4000002057,(DC.) Holub,Ranunculaceae,,,,Anemonoides,,minima,,species,Valid,Folia Geobot. Phytotax. 12: 428 (1977),Accepted,,wfo-0000535463,,"Source in seed data: cmp Update namepublishedIn from Folia Geobot. Phytotax. 12(4): 428. 1977 to Folia Geobot. Phytotax. 12: 428 (1977), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.",2022-04-16,2024-06-04,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:708757-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2638879,['Anemone minima' 'Anemone quinquefolia var. minima']
1453177,wfo-1000002897,urn:lsid:ipni.org:names:77215970-1,ten:legumedata.org:Fabaceae:1273140,Ctenodon mucronulatus,species,wfo-4000009967,(Benth.) A.Delgado,Fabaceae,Papilionoideae,,,Ctenodon,,mucronulatus,,species,Valid,Neodiversity 13(1): 23 (2020),Accepted,,wfo-0000167619,,,2022-07-28,2024-06-04,https://www.legumedata.org/taxonomy/taxon/3273140,The Fabaceae TEN - Legume Taxonomy Working Group,A,,"['Aeschynomene amorphoides' 'Aeschynomene guadalajarana'
 'Brya amorphoides' 'Hedysarum arborescens' 'Drepanocarpus mucronulatus'
 'Aeschynomene bracteolaris' 'Adesmia floribunda']"
